gene	SigmaFC	p_value	significant	# sgRNAs	# signif. sgRNAs
hsa-mir-648	5.94945264322	0.0022	True	4	2
PRKACG	5.94777613822	0.0022	True	6	2
PIWIL3	5.94312319563	0.0022	True	6	2
PLS3	5.9335504174	0.0023	True	6	2
ZNF121	5.93043832213	0.0023	True	6	2
NEGR1	5.91474421095	0.0023	True	6	2
GALNT1	5.90466949798	0.0023	True	6	2
TNKS	5.87000494912	0.0024	True	6	2
TDG	5.85617044346	0.0025	True	6	2
PAX4	5.84370293985	0.0027	True	6	2
SLC22A1	5.83938209018	0.0027	True	6	2
ACKR4	5.83130230905	0.0027	True	6	2
CXorf57	5.79765523942	0.0027	True	6	2
DNTTIP2	5.78688933316	0.0027	True	6	2
ZMYM3	5.7735527257	0.0028	True	6	2
SP7	5.76744906728	0.0028	True	6	2
ZNF75A	5.74960426033	0.0029	True	6	2
SLC39A9	5.72866212761	0.0029	True	6	2
TMEM160	5.71339328238	0.0029	True	6	2
CCS	5.70990896126	0.0029	True	6	2
TGFB3	5.6819667286	0.0031	True	6	2
ZNF836	5.67552406447	0.0032	True	6	2
ABCB11	5.64458062233	0.0033	True	6	2
TSPAN13	5.63746815845	0.0033	True	6	2
KRTAP6-1	5.60367443183	0.0033	True	6	2
BEAN1	5.59749474514	0.0033	True	6	2
DTX1	5.59641628703	0.0033	True	6	2
ATOX1	5.58477545976	0.0033	True	6	2
SPEN	5.56511508777	0.0034	True	6	2
DGCR8	5.54380645542	0.0035	True	6	2
OR7G1	5.54021217278	0.0035	True	6	2
EZH2	5.53708009872	0.0036	True	6	2
LRRTM3	5.50780698165	0.0037	True	6	2
ARHGAP27	5.48318377067	0.0038	True	6	2
ATP5O	5.47707140189	0.0038	True	6	2
SPERT	5.45352372059	0.0038	True	6	2
SMCR8	5.45309727401	0.0038	True	6	2
OR2Z1	5.45215886605	0.0038	True	6	2
TTC24	5.41944879246	0.0038	True	6	2
MFSD4	5.41001957466	0.0038	True	6	2
SORL1	5.3991442188	0.0038	True	6	2
CLEC19A	5.35297602942	0.0039	True	6	2
PRR19	5.35025266857	0.0039	True	6	2
KDM2B	5.33799650527	0.0039	True	6	2
ANAPC11	5.33262044565	0.004	True	6	2
LDLRAD2	5.32869514757	0.004	True	6	2
HLA-DRB1	5.32698122269	0.004	True	6	2
TTBK2	5.32590858606	0.004	True	6	2
SCAF11	5.30554912234	0.0043	True	6	2
PLA2R1	5.29869265011	0.0043	True	6	2
TFCP2	5.27463463633	0.0044	True	6	2
ADHFE1	5.26862490078	0.0045	True	6	2
PJA2	5.23378379537	0.0045	True	6	2
C9orf24	5.20021284214	0.0047	True	6	2
OR52A5	5.19743250637	0.0047	True	6	2
FAM216A	5.19569974896	0.0047	True	6	2
SPINK1	5.18443273591	0.0048	True	6	2
ADCY1	5.18358641361	0.0048	True	6	2
SCGB2A2	5.18322339917	0.0048	True	6	2
FBXO15	5.1640872484	0.0048	True	6	2
MPP7	5.15069342621	0.005	True	6	2
CALML6	5.1276062443	0.005	True	6	2
OR3A2	5.10812801307	0.005	True	6	2
DPH1	5.09172976385	0.005	True	6	2
LEPROTL1	5.06430388405	0.0051	True	6	2
CLEC1A	5.06310040165	0.0051	True	6	2
TUBB2B	5.04618238524	0.0051	True	6	2
PTH1R	5.04504152823	0.0052	True	6	2
ZNF43	5.03974533746	0.0053	True	6	2
SIRPB1	5.01432360191	0.0054	True	6	2
KANK4	5.01068276851	0.0054	True	6	2
hsa-mir-320b-1	4.97120028505	0.0055	True	4	2
TRAK2	4.96645480059	0.0055	True	6	2
FAM129C	4.96342806068	0.0056	True	6	2
LYPD4	4.95525456397	0.0057	True	6	2
GPR22	4.95285887288	0.0057	True	6	2
TRIM64B	4.92411427045	0.0058	True	6	2
IDH3A	4.9215619962	0.0058	True	6	2
AMZ2	4.91566330413	0.0058	True	6	2
VCPIP1	4.89459784319	0.0058	True	6	2
CYYR1	4.88837170854	0.0059	True	6	2
MTCH1	4.87635997705	0.0061	True	6	2
RESP18	4.86997757955	0.0061	True	6	2
RNF167	4.85091602761	0.0062	True	6	2
MRM1	4.82198822626	0.0064	True	6	2
ZNF226	4.81272709577	0.0064	True	6	2
CRYGA	4.78572358144	0.0065	True	6	2
C1orf65	4.76185674502	0.0066	True	6	2
OPALIN	4.75717830509	0.0066	True	6	2
SIT1	4.75116043072	0.0067	True	6	2
PPIL4	4.74336433335	0.0067	True	6	2
MTTP	4.6873641709	0.0069	True	6	2
STAP1	4.68197907237	0.0069	True	6	2
IRAK1BP1	4.67589203708	0.0069	True	6	2
CLEC4A	4.6731218462	0.0069	True	6	2
BBC3	4.67042950365	0.0069	True	6	2
FAM46B	4.6543540744	0.007	True	6	2
ZNF780A	4.64284414114	0.007	True	6	2
C9orf153	4.64256531327	0.007	True	6	2
ABI3BP	4.64008899636	0.007	True	6	2
KIF5A	4.61898047363	0.007	True	6	2
SEMA3G	4.61864829371	0.007	True	6	2
C14orf2	4.61269238617	0.0071	True	6	2
LETMD1	4.58953733733	0.0071	True	6	2
P2RX1	4.57851271791	0.0071	True	6	2
IFNW1	4.57102396095	0.0072	True	6	2
REPS2	4.56322555892	0.0073	True	6	2
APTX	4.55504835203	0.0073	True	6	2
MMACHC	4.55043528401	0.0073	True	6	2
hsa-mir-6805	4.54978665618	0.0073	True	4	2
hsa-mir-567	4.54191521725	0.0074	True	4	2
EXOC1	4.53375079566	0.0074	True	6	2
VPS37B	4.52562929769	0.0074	True	6	2
ANLN	4.5252328294	0.0074	True	6	2
RFC2	4.51280404432	0.0075	True	6	2
SAMSN1	4.50450586859	0.0075	True	6	2
OGDHL	4.50260706049	0.0075	True	6	2
DESI1	4.49308373475	0.0075	True	6	2
KIAA2013	4.48212693673	0.0076	True	6	2
C6orf141	4.47380366907	0.0076	True	6	2
RAB30	4.46797838888	0.0077	True	6	2
ZSCAN16	4.46103882226	0.0077	True	6	2
C15orf40	4.44379064528	0.0077	True	6	2
ORAI1	4.43055103541	0.0078	True	6	2
hsa-mir-649	4.42247687314	0.0078	True	4	2
CNPPD1	4.4216771388	0.0078	True	6	2
PARG	4.40336641054	0.0079	True	6	2
SLC10A2	4.40034340198	0.0079	True	6	2
OR13J1	4.39465389489	0.0079	True	6	2
TIPIN	4.37703672906	0.008	True	6	2
FAM160B1	4.37154160827	0.008	True	6	2
AGMAT	4.35960222735	0.008	True	6	2
GHRL	4.35283271636	0.008	True	6	2
KLC2	4.29152274004	0.0084	True	6	2
MRPL39	4.25310805776	0.0087	True	6	2
INPP5D	4.25089628249	0.0087	True	6	2
EN2	4.25051527748	0.0087	True	6	2
MAK16	4.24500378352	0.0087	True	6	2
GP1BB	4.22963478377	0.0087	True	6	2
FAM199X	4.22909776745	0.0087	True	6	2
PAPSS2	4.22731137627	0.0087	True	6	2
AEBP2	4.22500082922	0.0087	True	6	2
GBP3	4.22415225858	0.0087	True	6	2
FFAR2	4.22122319499	0.0087	True	6	2
SFXN5	4.21176698268	0.0087	True	6	2
SYT4	4.19912815553	0.0087	True	6	2
SGK2	4.19451163529	0.0087	True	6	2
BMF	4.14732026203	0.0091	True	6	2
KIAA1551	4.14468180196	0.0091	True	6	2
LENG8	4.13627413432	0.0091	True	6	2
AES	4.13197534448	0.0092	True	6	2
POU3F3	4.11323762357	0.0092	True	6	2
CKAP4	4.09246215847	0.0092	True	6	2
IGF2R	4.07639192841	0.0092	True	6	2
CENPP	4.07270982463	0.0092	True	6	2
PASD1	4.05331517859	0.0093	True	6	2
DNASE1L1	4.05007143502	0.0094	True	6	2
IQGAP1	4.04932923829	0.0094	True	6	2
CEACAM4	4.04460738132	0.0094	True	6	2
ZYG11B	4.01005947102	0.0095	True	6	2
COL4A4	3.9858672288	0.0096	True	6	2
ITGAX	3.98336845704	0.0096	True	6	2
EFS	3.97708841388	0.0096	True	6	2
ZNF25	3.94021900073	0.0096	True	6	2
DSTYK	3.92838910937	0.0098	True	6	2
SLC30A8	3.92692644639	0.0098	True	6	2
IPP	3.88054129668	0.0099	True	6	2
RNF103	3.83866499232	0.0099	True	6	2
TSKS	3.82516326251	0.0099	True	6	2
MPP1	3.82361443596	0.01	False	6	2
CD58	3.8188933207	0.01	False	6	2
C3orf20	3.81015848341	0.01	False	6	2
IRF2BP2	3.80921617386	0.01	False	6	2
DAPP1	3.80573464187	0.0101	False	6	2
SYNJ1	3.78057760596	0.0101	False	6	2
MB	3.78055121906	0.0101	False	6	2
EVI2B	3.7691471423	0.0102	False	6	2
MAPK14	3.7615235304	0.0102	False	6	2
hsa-mir-545	3.75947044928	0.0102	False	4	2
TM9SF3	3.73710367116	0.0103	False	6	2
GOLGA1	3.71506888028	0.0103	False	6	2
GPR101	3.69482692139	0.0103	False	6	2
NRTN	3.67989991835	0.0104	False	6	2
METTL20	3.67948067479	0.0104	False	6	2
C1orf186	3.67792886966	0.0104	False	6	2
TSSK2	3.63504582317	0.0105	False	6	2
SLC27A4	3.61691033395	0.0105	False	6	2
NAIP	3.61266125522	0.0105	False	6	2
PRKACA	3.60113728613	0.0105	False	6	2
GPAM	3.57748805306	0.0105	False	6	2
ENHO	3.56663981353	0.0105	False	6	2
PDCD5	3.5142141317	0.0107	False	6	2
PILRB	3.47562200362	0.0107	False	6	2
SOAT1	3.43867827596	0.0107	False	6	2
SLC24A5	3.38377837334	0.0107	False	6	2
PRDM13	3.07541229264	0.0107	False	6	1
SLC35B2	2.99699490389	0.0108	False	6	1
NonTargetingControlGuideForHuman_0017	2.83475344878	0.0109	False	1	1
IQGAP3	2.64615760609	0.011	False	6	1
AKIRIN1	2.63140063409	0.011	False	6	1
SLIT2	2.55936163837	0.0112	False	4	1
HS6ST1	2.54417397052	0.0112	False	6	1
EPHB4	2.496041411	0.0112	False	6	1
MRPL54	2.41685624251	0.0112	False	6	1
PRSS2	2.39346753335	0.0112	False	6	1
LLPH	2.38809444041	0.0112	False	6	1
UBE2G1	2.36591156247	0.0113	False	6	1
ASIP	2.35729189501	0.0114	False	6	1
OR8K1	2.35438023114	0.0114	False	6	1
FN1	2.32039059162	0.0115	False	6	1
CAPN15	2.31108027719	0.0115	False	6	1
NPY	2.30818669537	0.0118	False	6	1
GAST	2.30601506692	0.0118	False	6	1
TMEM17	2.30383252496	0.012	False	6	1
ZKSCAN2	2.28874772548	0.0121	False	6	1
MAP4	2.27907149481	0.0121	False	6	1
PCDHGA1	2.2755829063	0.0122	False	6	1
DHRS12	2.2720961658	0.0122	False	6	1
PGC	2.26970558677	0.0124	False	6	1
GRID1	2.26374763689	0.0124	False	6	1
RNF151	2.25526675919	0.0124	False	6	1
FBXL8	2.22330911109	0.0125	False	6	1
DCAF8L2	2.22223160586	0.0125	False	6	1
AK5	2.22102651598	0.0125	False	6	1
B4GALT7	2.21800080308	0.0125	False	6	1
ZNF649	2.20035111902	0.0125	False	6	1
hsa-mir-548ah	2.19918829455	0.0125	False	2	1
ZNF396	2.19639514373	0.0125	False	6	1
OR4E2	2.19316313972	0.0125	False	6	1
MED20	2.19217144329	0.0125	False	6	1
DKK4	2.18538406554	0.0126	False	6	1
IFI16	2.1771729594	0.0126	False	6	1
HIBCH	2.17646466221	0.0126	False	6	1
C11orf86	2.16442295088	0.0126	False	6	1
KCNE1	2.15936226846	0.0126	False	6	1
URM1	2.15448464501	0.0128	False	6	1
CD97	2.15063330876	0.0128	False	6	1
OR9Q2	2.14593771533	0.0128	False	6	1
FKTN	2.14277887553	0.013	False	6	1
FOXJ3	2.14204227107	0.0131	False	6	1
LCE1B	2.13799711387	0.0132	False	6	1
CPT1B	2.12779278934	0.0132	False	6	1
IL20	2.1233275779	0.0132	False	6	1
DEFB124	2.12166661666	0.0132	False	6	1
TMEM257	2.11999927868	0.0132	False	6	1
ANKRD53	2.11326516759	0.0132	False	6	1
HPCAL1	2.11326516759	0.0132	False	6	1
CACNB1	2.10642499151	0.0133	False	6	1
OR11H1	2.10092442525	0.0133	False	6	1
KCNG4	2.08883782912	0.0135	False	6	1
FAM20A	2.08341973537	0.0135	False	6	1
AIRE	2.08159857839	0.0135	False	6	1
OR5M1	2.079080068	0.0136	False	6	1
TG	2.0779331927	0.0136	False	6	1
DIO2	2.0779331927	0.0136	False	6	1
ACTL6A	2.07521443348	0.0136	False	6	1
C11orf87	2.07237644945	0.0136	False	6	1
PCDH7	2.07237644945	0.0136	False	6	1
FCRL3	2.06995541438	0.0136	False	6	1
NFKB1	2.0654687141	0.0137	False	6	1
DHCR7	2.06485510208	0.0139	False	6	1
hsa-mir-934	2.06313629612	0.014	False	4	1
TMEM259	2.06104501058	0.0141	False	6	1
hsa-mir-3918	2.05977471048	0.0142	False	4	1
PRPF3	2.05526645658	0.0142	False	6	1
C1orf233	2.05480284081	0.0142	False	6	1
FNTB	2.05332305863	0.0142	False	6	1
FYB	2.05332305863	0.0142	False	6	1
ACTL7A	2.05137092519	0.0142	False	6	1
CDH18	2.0434734425	0.0142	False	6	1
TSPAN18	2.04147642651	0.0142	False	6	1
hsa-mir-4733	2.03745463297	0.0142	False	4	1
COLGALT2	2.03745463297	0.0142	False	6	1
OGN	2.03542968296	0.0142	False	6	1
NADK2	2.02929755957	0.0142	False	6	1
CXCL14	2.02516084065	0.0142	False	6	1
TCHP	2.01657272857	0.0143	False	6	1
NonTargetingControlGuideForHuman_0877	2.01115533602	0.0144	False	1	1
UPK1A	2.01036391419	0.0144	False	6	1
KCNAB1	2.00551982298	0.0145	False	6	1
FRMD6	2.00335899946	0.0145	False	6	1
RARB	2.00177520231	0.0145	False	6	1
C2orf50	1.99726677914	0.0145	False	6	1
SLC14A1	1.99570292941	0.0145	False	6	1
SMAP1	1.99310822833	0.0145	False	6	1
ABCG2	1.98831064807	0.0146	False	6	1
S100A4	1.98604245607	0.0147	False	6	1
ZNF486	1.98604245607	0.0147	False	6	1
CSMD1	1.98376235576	0.0148	False	6	1
hsa-mir-6836	1.98147022143	0.0149	False	4	1
CD300LG	1.97731281596	0.0149	False	6	1
FCRL5	1.97458518625	0.0149	False	6	1
NLRP11	1.97452032704	0.015	False	6	1
ATF5	1.97217875895	0.015	False	6	1
AKAP4	1.97148276041	0.0151	False	6	1
SLFN14	1.96268415742	0.0151	False	6	1
hsa-mir-7843	1.96044634312	0.0151	False	4	1
KIR2DL1	1.95609103574	0.0151	False	6	1
ABAT	1.95453537083	0.0151	False	6	1
PFN3	1.95452234918	0.0151	False	6	1
hsa-mir-3938	1.95297733546	0.0151	False	4	1
ADAP1	1.95291166878	0.0151	False	6	1
SPINK5	1.94964593873	0.0151	False	6	1
RECQL	1.94804133511	0.0151	False	6	1
PTDSS1	1.94555213662	0.0152	False	6	1
MAP3K19	1.94555213662	0.0152	False	6	1
LCN9	1.94555213662	0.0152	False	6	1
CSTA	1.94555213662	0.0152	False	6	1
KCNK16	1.94555213662	0.0152	False	6	1
HPS6	1.94303987114	0.0153	False	6	1
XCL1	1.94053052519	0.0155	False	6	1
MYO5B	1.94053052519	0.0155	False	6	1
HDGFL1	1.93803495847	0.0155	False	6	1
PITX2	1.93799777654	0.0155	False	6	1
DDB2	1.93545017054	0.0155	False	6	1
C10orf128	1.93288753185	0.0156	False	6	1
NOL11	1.92510761902	0.0158	False	6	1
ATAD3C	1.92248303263	0.0158	False	6	1
TEC	1.91665887812	0.0159	False	6	1
SGK223	1.91556241529	0.016	False	6	1
RFC1	1.91451274249	0.016	False	6	1
PCDH10	1.91182313922	0.0162	False	6	1
CA12	1.91182313922	0.0162	False	6	1
PRR15	1.91075245367	0.0162	False	6	1
B2M	1.91000436442	0.0162	False	6	1
QARS	1.90639344045	0.0162	False	6	1
DGCR14	1.90487600691	0.0162	False	6	1
TMEM234	1.90365292057	0.0163	False	6	1
GJA9	1.90321435012	0.0163	False	6	1
MEPE	1.90089499735	0.0164	False	6	1
PWP1	1.90089499735	0.0164	False	6	1
ABHD2	1.90089499735	0.0164	False	6	1
MTMR12	1.90078383725	0.0165	False	6	1
HS2ST1	1.89930644717	0.0166	False	6	1
VPS18	1.89914567917	0.0166	False	6	1
LPGAT1	1.89811944837	0.0166	False	6	1
CDK5RAP1	1.89746208792	0.0167	False	6	1
hsa-mir-3671	1.89532604686	0.0167	False	3	1
ODC1	1.8925145617	0.0167	False	6	1
OR11H4	1.8925145617	0.0167	False	6	1
GFOD2	1.88968475721	0.0167	False	6	1
IFI27	1.88948150956	0.0168	False	6	1
FBXL19	1.88948150956	0.0168	False	6	1
TBC1D30	1.8887562166	0.0169	False	6	1
VHL	1.88819714565	0.0169	False	6	1
MT1E	1.8868363931	0.017	False	6	1
hsa-mir-2117	1.8868363931	0.017	False	4	1
C15orf38	1.8839692243	0.0172	False	6	1
ACER1	1.8839692243	0.0172	False	6	1
PIAS4	1.88108300088	0.0174	False	6	1
SLC26A8	1.88108300088	0.0174	False	6	1
MCTS1	1.87942847115	0.0174	False	6	1
CDC20	1.87817746786	0.0176	False	6	1
CCL2	1.87817746786	0.0176	False	6	1
CNIH3	1.87663971105	0.0177	False	6	1
SRF	1.87525236514	0.0177	False	6	1
MAP3K6	1.87425560551	0.0177	False	6	1
PIAS3	1.87230742731	0.0179	False	6	1
PPP1R14A	1.87025942901	0.0179	False	6	1
CEP120	1.86934238354	0.018	False	6	1
ZNF517	1.86934238354	0.018	False	6	1
PPP3R1	1.86934238354	0.018	False	6	1
MANSC1	1.86432289415	0.0181	False	6	1
TMPRSS11B	1.86335086668	0.0181	False	6	1
FOXF1	1.86032382337	0.0182	False	6	1
FBN1	1.86032382337	0.0182	False	6	1
NonTargetingControlGuideForHuman_0348	1.85730132726	0.0183	False	1	1
TRAPPC3	1.85420569615	0.0185	False	6	1
ALDH1A1	1.85420569615	0.0185	False	6	1
FAM154A	1.85275162674	0.0185	False	6	1
VCX	1.85220068782	0.0185	False	6	1
C22orf42	1.84884569622	0.0186	False	6	1
SCLT1	1.84800014673	0.0186	False	6	1
GDF11	1.84800014673	0.0186	False	6	1
ELF3	1.84502242281	0.0186	False	6	1
SPG21	1.8417046405	0.0188	False	6	1
TMEM141	1.8417046405	0.0188	False	6	1
SNCB	1.84025418477	0.019	False	6	1
NMNAT3	1.84025418477	0.019	False	6	1
FARP1	1.83814053842	0.0191	False	6	1
PLA2G4C	1.83531653097	0.0194	False	6	1
SLC6A3	1.83531653097	0.0194	False	6	1
OR5T2	1.83529355616	0.0194	False	6	1
TRAPPC5	1.83208689073	0.0195	False	6	1
NCLN	1.83208689073	0.0195	False	6	1
CORO2B	1.83208689073	0.0195	False	6	1
ATP11C	1.83180518569	0.0195	False	6	1
RXRB	1.82883305315	0.0196	False	6	1
CRIP3	1.82883305315	0.0196	False	6	1
ANGPT1	1.82883305315	0.0196	False	6	1
INTS12	1.82555465289	0.0196	False	6	1
DTX3L	1.82471416817	0.0196	False	6	1
KBTBD7	1.82304977721	0.0197	False	6	1
LOC158434	1.82304977721	0.0197	False	6	1
NPRL3	1.82225131631	0.0197	False	6	1
MYBL2	1.82032669953	0.02	False	6	1
hsa-mir-150	1.81892266114	0.0201	False	4	1
ZNF235	1.81892266114	0.0201	False	6	1
HEPACAM	1.81811623079	0.0201	False	6	1
hsa-mir-6507	1.81556829627	0.0202	False	4	1
KRTCAP2	1.81556829627	0.0202	False	6	1
CCT8L2	1.81556829627	0.0202	False	6	1
SRGAP2D	1.81478033154	0.0202	False	6	1
ZDHHC23	1.81218782146	0.0202	False	6	1
KCNJ4	1.81194030996	0.0203	False	6	1
DEFB128	1.81013081394	0.0203	False	6	1
HS3ST1	1.80780867592	0.0204	False	6	1
GAK	1.80534689366	0.0205	False	6	1
hsa-mir-6833	1.80534689366	0.0205	False	4	1
NonTargetingControlGuideForHuman_0217	1.80188559187	0.0208	False	1	1
SEPP1	1.80188559187	0.0208	False	6	1
FABP3	1.80188559187	0.0208	False	6	1
ZCCHC7	1.80188559187	0.0208	False	6	1
VLDLR	1.80001537702	0.0209	False	6	1
PKM	1.79839648193	0.0211	False	6	1
DIRC1	1.79839648193	0.0211	False	6	1
FAM118B	1.79839648193	0.0211	False	6	1
ENPP7	1.7976987895	0.0211	False	6	1
PREX1	1.79589358151	0.0211	False	6	1
BRMS1	1.79536977868	0.0211	False	6	1
SMARCA2	1.7948791134	0.0211	False	6	1
SLX4IP	1.79133302479	0.0212	False	6	1
RASSF1	1.79133302479	0.0212	False	6	1
ZBTB46	1.79133302479	0.0212	False	6	1
NonTargetingControlGuideForHuman_0368	1.78905258675	0.0212	False	1	1
EVX1	1.78775774323	0.0212	False	6	1
hsa-mir-4724	1.78530208417	0.0212	False	4	1
SERPINB3	1.78415278408	0.0212	False	6	1
hsa-mir-660	1.78415278408	0.0212	False	4	1
LAMC1	1.78415278408	0.0212	False	6	1
SLCO1B3	1.78415278408	0.0212	False	6	1
OR4D10	1.78405741189	0.0212	False	6	1
FAT2	1.78248055324	0.0212	False	6	1
OR4Q3	1.7805176505	0.0212	False	6	1
XK	1.77685183311	0.0212	False	6	1
PLSCR5	1.77685183311	0.0212	False	6	1
CTHRC1	1.77685183311	0.0212	False	6	1
EID2	1.77685183311	0.0212	False	6	1
DIP2A	1.77685183311	0.0212	False	6	1
C20orf144	1.77320445511	0.0215	False	6	1
ENTPD5	1.77315480948	0.0215	False	6	1
THRA	1.76940891225	0.0215	False	6	1
CPEB3	1.7686257222	0.0215	False	6	1
SLC25A53	1.76640767866	0.0216	False	6	1
RAB17	1.76566498613	0.0217	False	6	1
C5orf49	1.76187107243	0.0217	False	6	1
hsa-mir-5192	1.76041893314	0.0217	False	4	1
EREG	1.75884722818	0.0217	False	6	1
hsa-mir-488	1.75804372351	0.0217	False	4	1
PRR15L	1.75699822873	0.0218	False	6	1
ADCK3	1.75509309929	0.0218	False	6	1
RPGRIP1	1.75418234483	0.0218	False	6	1
HAGH	1.75278539591	0.022	False	6	1
CD48	1.75227805621	0.0221	False	6	1
WARS2	1.75115913367	0.0222	False	6	1
HUWE1	1.75028632583	0.0222	False	6	1
CHMP4B	1.74635503934	0.0223	False	6	1
POU6F1	1.74635503934	0.0223	False	6	1
ZNF260	1.74635503934	0.0223	False	6	1
TIGIT	1.74550777256	0.0224	False	6	1
OXLD1	1.74333248428	0.0224	False	6	1
CYSTM1	1.74238784104	0.0225	False	6	1
ZSCAN29	1.74238784104	0.0225	False	6	1
MTMR11	1.74238784104	0.0225	False	6	1
SERTAD1	1.7386457466	0.0225	False	6	1
CFP	1.73838406879	0.0226	False	6	1
hsa-mir-299	1.73838406879	0.0226	False	4	1
GALNT16	1.73838406879	0.0226	False	6	1
NUDT3	1.73803524305	0.0226	False	6	1
ASCL2	1.73434304193	0.0227	False	6	1
FAM198A	1.73434304193	0.0227	False	6	1
NKX2-4	1.73434304193	0.0227	False	6	1
AKR1B1	1.7331963937	0.0228	False	6	1
TRPV6	1.7331963937	0.0228	False	6	1
CRCP	1.73026406066	0.023	False	6	1
DHRS4L1	1.73026406066	0.023	False	6	1
CLEC3A	1.73026406066	0.023	False	6	1
RSBN1L	1.73026406066	0.023	False	6	1
CNBP	1.72873223336	0.0231	False	6	1
NXT2	1.7272428921	0.0232	False	6	1
NonTargetingControlGuideForHuman_0281	1.72614640525	0.0232	False	1	1
hsa-mir-6763	1.72614640525	0.0232	False	4	1
CLEC4D	1.72574035022	0.0233	False	6	1
ESYT3	1.72502617504	0.0235	False	6	1
CD33	1.72413728386	0.0235	False	6	1
C19orf71	1.72226825183	0.0235	False	6	1
C11orf85	1.717792089	0.0239	False	6	1
hsa-mir-4427	1.717792089	0.0239	False	4	1
CAND1	1.717792089	0.0239	False	6	1
ZNF236	1.717792089	0.0239	False	6	1
ZDHHC12	1.717792089	0.0239	False	6	1
GIMAP6	1.71669930134	0.0239	False	6	1
BOD1L2	1.71554315614	0.0239	False	6	1
GRM1	1.71355388214	0.0243	False	6	1
SLCO3A1	1.71355388214	0.0243	False	6	1
NHP2L1	1.71355388214	0.0243	False	6	1
SEC22C	1.71350916171	0.0244	False	6	1
PPFIA1	1.71336401334	0.0244	False	6	1
CORO1A	1.71152157566	0.0245	False	6	1
CCNG1	1.71053420886	0.0245	False	6	1
NFKB2	1.70981560456	0.0245	False	6	1
NT5DC1	1.70927390739	0.0246	False	6	1
WWC2	1.70927390739	0.0246	False	6	1
CNTN6	1.70857685435	0.0246	False	6	1
ACVR1	1.7049513333	0.025	False	6	1
IRX3	1.7049513333	0.025	False	6	1
MPP5	1.7049513333	0.025	False	6	1
KLHL29	1.7049513333	0.025	False	6	1
UBN1	1.7049513333	0.025	False	6	1
BCL11B	1.7049513333	0.025	False	6	1
SNX2	1.70475302823	0.0251	False	6	1
RBPJ	1.70189179963	0.0253	False	6	1
PGK2	1.70058530334	0.0254	False	6	1
RARS	1.70058530334	0.0254	False	6	1
JAG2	1.70058530334	0.0254	False	6	1
WFDC9	1.69955072234	0.0255	False	6	1
NEK3	1.69902691951	0.0255	False	6	1
FBXL20	1.69794050933	0.0257	False	6	1
PTPLAD2	1.69617493488	0.0257	False	6	1
RUNX3	1.69617493488	0.0257	False	6	1
SH3BP4	1.69617493488	0.0257	False	6	1
GM2A	1.69617493488	0.0257	False	6	1
LRRC59	1.69464955197	0.0257	False	6	1
