gene	aRRA	aRRA p_value	aRRA FDR	significant	# signif. sgRNAs
C1orf65	3.4191671674e-05	4.00E-03	9.72E-01	False	3
ZMAT4	3.60943965738e-05	4.00E-03	9.72E-01	False	3
RABEP2	3.80243300271e-05	4.00E-03	9.72E-01	False	2
SSTR5	3.97985620064e-05	4.00E-03	9.72E-01	False	2
SBNO2	4.05150270235e-05	4.00E-03	9.72E-01	False	1
RPGR	4.1072898983e-05	4.00E-03	9.72E-01	False	3
GSX2	4.30255037023e-05	4.00E-03	9.72E-01	False	2
CAMK4	4.30255037023e-05	4.00E-03	9.72E-01	False	2
ADAM28	4.49058866991e-05	4.00E-03	9.72E-01	False	2
CPSF3L	4.86174414999e-05	4.00E-03	9.72E-01	False	2
PRAMEF1	5.03944260245e-05	4.00E-03	9.72E-01	False	2
C2orf68	5.5332159424e-05	4.00E-03	9.72E-01	False	2
SYT5	5.64268140654e-05	5.00E-03	9.72E-01	False	1
ALDH3A2	5.64268140654e-05	5.00E-03	9.72E-01	False	2
MMP17	5.64268140654e-05	5.00E-03	9.72E-01	False	2
SLC35E4	5.64268140654e-05	5.00E-03	9.72E-01	False	2
SNX18	5.64268140654e-05	5.00E-03	9.72E-01	False	2
UNC45A	5.64268140654e-05	5.00E-03	9.72E-01	False	2
MAGEB2	5.64268140654e-05	5.00E-03	9.72E-01	False	2
RAB15	5.64268140654e-05	5.00E-03	9.72E-01	False	2
BRPF1	5.67210378329e-05	5.00E-03	9.72E-01	False	1
CSGALNACT1	6.21609921627e-05	6.00E-03	9.72E-01	False	2
PSMC3IP	6.48240432376e-05	7.00E-03	9.72E-01	False	1
MRAP	6.99958638652e-05	7.00E-03	9.72E-01	False	2
CTU1	6.99958638652e-05	7.00E-03	9.72E-01	False	2
NUDT2	7.3774111487e-05	7.00E-03	9.72E-01	False	2
PODXL2	7.69648107672e-05	8.00E-03	9.72E-01	False	3
SPG21	7.85814181359e-05	8.00E-03	9.72E-01	False	1
ESF1	7.85814181359e-05	8.00E-03	9.72E-01	False	2
FAM161A	7.85814181359e-05	8.00E-03	9.72E-01	False	2
PNPLA5	7.85814181359e-05	8.00E-03	9.72E-01	False	1
ZMYM3	7.85814181359e-05	8.00E-03	9.72E-01	False	0
ELP2	8.11168712586e-05	8.00E-03	9.72E-01	False	2
KPNA1	8.11168712586e-05	8.00E-03	9.72E-01	False	2
OTUD6A	8.11168712586e-05	8.00E-03	9.72E-01	False	2
LRRC52	8.11168712586e-05	8.00E-03	9.72E-01	False	2
HUS1B	8.4382515338e-05	8.00E-03	9.72E-01	False	2
ERVFRD-1	8.4382515338e-05	8.00E-03	9.72E-01	False	2
RSL1D1	8.66948846621e-05	8.00E-03	9.72E-01	False	2
OR1B1	8.80109591511e-05	8.00E-03	9.72E-01	False	2
TJP3	8.91330594518e-05	8.00E-03	9.72E-01	False	1
SLC35G6	9.29011628049e-05	9.00E-03	9.72E-01	False	2
CLCA2	9.72337011435e-05	9.00E-03	9.72E-01	False	2
hsa-mir-590	9.72360648565e-05	9.00E-03	9.72E-01	False	1
ACAP2	9.83682834205e-05	9.00E-03	9.72E-01	False	2
RPAP1	0.000104829486231	9.00E-03	9.72E-01	False	1
RPS20	0.000104829486231	9.00E-03	9.72E-01	False	1
NRM	0.000104829486231	9.00E-03	9.72E-01	False	0
NRXN3	0.000104829486231	9.00E-03	9.72E-01	False	2
BRMS1L	0.000104829486231	9.00E-03	9.72E-01	False	1
BRS3	0.000104829486231	9.00E-03	9.72E-01	False	2
EPHX3	0.000104829486231	9.00E-03	9.72E-01	False	2
C1orf111	0.000104829486231	9.00E-03	9.72E-01	False	2
ZNF287	0.000104829486231	9.00E-03	9.72E-01	False	1
EIF2B1	0.000104829486231	9.00E-03	9.72E-01	False	2
CNOT6	0.000104829486231	9.00E-03	9.72E-01	False	1
PIWIL3	0.000104829486231	9.00E-03	9.72E-01	False	2
MTMR12	0.000104829486231	9.00E-03	9.72E-01	False	1
KIAA1045	0.000105339070261	9.00E-03	9.72E-01	False	1
ACTR3C	0.000109771426233	9.00E-03	9.72E-01	False	2
CXXC11	0.000109771426233	9.00E-03	9.72E-01	False	2
POLE3	0.000109771426233	9.00E-03	9.72E-01	False	2
LAX1	0.000109771426233	9.00E-03	9.72E-01	False	2
PITPNM1	0.000109771426233	9.00E-03	9.72E-01	False	2
hsa-mir-4653	0.000109771426233	9.00E-03	9.72E-01	False	2
NPHP4	0.000109771426233	9.00E-03	9.72E-01	False	2
PGC	0.000109771426233	9.00E-03	9.72E-01	False	2
RECQL4	0.000109771426233	9.00E-03	9.72E-01	False	2
BDKRB2	0.000109771426233	9.00E-03	9.72E-01	False	2
AP1S3	0.000113442075666	9.00E-03	9.72E-01	False	1
GLB1	0.000121545081071	9.00E-03	9.72E-01	False	1
CLRN2	0.000121620982524	9.00E-03	9.72E-01	False	2
VDR	0.000127351294924	9.00E-03	9.72E-01	False	1
MGMT	0.000129648086475	9.00E-03	9.72E-01	False	1
RUFY2	0.000130073571244	9.00E-03	9.72E-01	False	2
HIST1H2BN	0.000130073571244	9.00E-03	9.72E-01	False	2
EXOC1	0.000131990673221	9.00E-03	9.72E-01	False	1
HMGB4	0.000137679068234	9.00E-03	9.72E-01	False	1
SULT1C4	0.000137679068234	9.00E-03	9.72E-01	False	1
EFCAB3	0.000137679068234	9.00E-03	9.72E-01	False	0
TRIM24	0.000137679068234	9.00E-03	9.72E-01	False	2
SMCO2	0.000137679068234	9.00E-03	9.72E-01	False	1
VSX1	0.000137679068234	9.00E-03	9.72E-01	False	2
TDRD9	0.00013775109188	9.00E-03	9.72E-01	False	1
HMGN4	0.000139574893495	9.00E-03	9.72E-01	False	2
TSPAN14	0.000143430372159	9.00E-03	9.72E-01	False	2
PRLH	0.000145475525655	9.00E-03	9.72E-01	False	2
TUBGCP2	0.000145475525655	9.00E-03	9.72E-01	False	2
CCDC22	0.00014584877893	9.00E-03	9.72E-01	False	1
PCDHAC1	0.000145854097285	9.00E-03	9.72E-01	False	1
LDB3	0.000153723356023	1.00E-02	9.72E-01	False	2
TEX28	0.000162138734173	1.10E-02	9.72E-01	False	2
TMBIM4	0.000162138734173	1.10E-02	9.72E-01	False	2
SERPINC1	0.000162138734173	1.10E-02	9.72E-01	False	1
DDX23	0.000162138734173	1.10E-02	9.72E-01	False	1
TSC22D3	0.000162138734173	1.10E-02	9.72E-01	False	2
TRIP12	0.000162138734173	1.10E-02	9.72E-01	False	1
PLEKHA3	0.000162138734173	1.10E-02	9.72E-01	False	1
LAMB2	0.000162254720471	1.10E-02	9.72E-01	False	2
SPAST	0.000162254720471	1.10E-02	9.72E-01	False	2
TBC1D10B	0.000162254720471	1.10E-02	9.72E-01	False	2
HNRNPH3	0.000162254720471	1.10E-02	9.72E-01	False	2
OPRL1	0.000162254720471	1.10E-02	9.72E-01	False	2
POU2F1	0.000162254720471	1.10E-02	9.72E-01	False	2
CERCAM	0.000170163113499	1.10E-02	9.72E-01	False	1
ST3GAL6	0.000178266118903	1.10E-02	9.72E-01	False	1
IMPACT	0.000179732162696	1.10E-02	9.72E-01	False	2
DEFB115	0.000186369124308	1.10E-02	9.72E-01	False	1
ZNF44	0.000194472129713	1.10E-02	9.72E-01	False	1
SLC4A4	0.000195942375662	1.10E-02	9.72E-01	False	2
PIAS3	0.000195942375662	1.10E-02	9.72E-01	False	2
BLMH	0.000195942375662	1.10E-02	9.72E-01	False	2
SETDB2	0.000195942375662	1.10E-02	9.72E-01	False	2
HCFC2	0.000202575135118	1.10E-02	9.72E-01	False	1
FBXO28	0.00020826682489	1.10E-02	9.72E-01	False	2
RNF151	0.000209437847744	1.10E-02	9.72E-01	False	2
COL5A2	0.000210142037265	1.10E-02	9.72E-01	False	2
USP17L4	0.000210678140522	1.10E-02	9.72E-01	False	1
ERCC1	0.000213680712717	1.10E-02	9.72E-01	False	2
POLR1A	0.000215699077465	1.10E-02	9.72E-01	False	2
TRPC5	0.000218781145927	1.10E-02	9.72E-01	False	1
hsa-mir-320d-1	0.000234987156736	1.10E-02	9.72E-01	False	1
GRK7	0.000241889457114	1.10E-02	9.72E-01	False	2
OC90	0.000241889457114	1.10E-02	9.72E-01	False	2
NT5DC3	0.000243090162141	1.10E-02	9.72E-01	False	1
KLK11	0.000247113070481	1.10E-02	9.72E-01	False	2
GTF3C4	0.000247113070481	1.10E-02	9.72E-01	False	2
FJX1	0.000247113070481	1.10E-02	9.72E-01	False	2
SUPT20HL1	0.000247113070481	1.10E-02	9.72E-01	False	2
SMAD6	0.000247113070481	1.10E-02	9.72E-01	False	2
EBF2	0.000247113070481	1.10E-02	9.72E-01	False	2
ME2	0.000247113070481	1.10E-02	9.72E-01	False	2
ZNF534	0.000247113070481	1.10E-02	9.72E-01	False	2
GPAA1	0.000247113070481	1.10E-02	9.72E-01	False	2
S100A5	0.000247113070481	1.10E-02	9.72E-01	False	2
hsa-mir-378d-1	0.000247113070481	1.10E-02	9.72E-01	False	2
NAGS	0.000247113070481	1.10E-02	9.72E-01	False	2
AJUBA	0.000247113070481	1.10E-02	9.72E-01	False	2
C11orf93	0.000247113070481	1.10E-02	9.72E-01	False	2
C19orf12	0.000247113070481	1.10E-02	9.72E-01	False	2
TMEM115	0.000247113070481	1.10E-02	9.72E-01	False	2
ZNF253	0.000251193167546	1.10E-02	9.72E-01	False	1
HCRTR1	0.000267399178355	1.10E-02	9.72E-01	False	1
LOC730159	0.00027550218376	1.10E-02	9.72E-01	False	1
ATG4C	0.00027673886531	1.10E-02	9.72E-01	False	2
DNAH14	0.000283605189165	1.10E-02	9.72E-01	False	1
C17orf100	0.000283792710402	1.10E-02	9.72E-01	False	2
CNNM2	0.000299811199974	1.10E-02	9.72E-01	False	1
ZP2	0.000306053634894	1.20E-02	9.72E-01	False	2
GRM2	0.000306053634894	1.20E-02	9.72E-01	False	2
RNF130	0.000306053634894	1.20E-02	9.72E-01	False	2
PRRG1	0.000306053634894	1.20E-02	9.72E-01	False	2
CNOT8	0.000306053634894	1.20E-02	9.72E-01	False	2
COL3A1	0.000306053634894	1.20E-02	9.72E-01	False	2
ZNF784	0.000307890502589	1.20E-02	9.72E-01	False	1
SERPINE1	0.000307914205379	1.20E-02	9.72E-01	False	1
SPANXN2	0.000324120216188	1.20E-02	9.72E-01	False	1
ELAC2	0.000327014087402	1.20E-02	9.72E-01	False	2
C11orf35	0.000330332119814	1.20E-02	9.72E-01	False	2
NOP16	0.000332223221593	1.30E-02	9.72E-01	False	1
PAK2	0.000338332697652	1.30E-02	9.72E-01	False	2
IL5	0.000340326226998	1.30E-02	9.72E-01	False	1
TMA16	0.000356532237807	1.30E-02	9.72E-01	False	1
FTO	0.000360406704293	1.30E-02	9.72E-01	False	1
WFDC12	0.000361824332508	1.30E-02	9.72E-01	False	2
DHRS7B	0.000364635243212	1.30E-02	9.72E-01	False	1
TAAR5	0.000372738248616	1.30E-02	9.72E-01	False	1
C12orf60	0.000373110405321	1.30E-02	9.72E-01	False	1
DNAJC24	0.000373110405321	1.30E-02	9.72E-01	False	1
ARL6IP6	0.000373110405321	1.30E-02	9.72E-01	False	2
INTS3	0.000373110405321	1.30E-02	9.72E-01	False	1
TREML2	0.000373110405321	1.30E-02	9.72E-01	False	1
CLEC19A	0.000373110405321	1.30E-02	9.72E-01	False	2
EIF4A3	0.000380841254021	1.30E-02	9.72E-01	False	1
MYEF2	0.000384435944549	1.30E-02	9.72E-01	False	2
S100A2	0.000388045850022	1.30E-02	9.72E-01	False	2
CNOT6L	0.000388944259426	1.30E-02	9.72E-01	False	1
BNIP3	0.000390443321242	1.30E-02	9.72E-01	False	1
CBX2	0.000391222994828	1.30E-02	9.72E-01	False	2
FAM169A	0.000392348810576	1.30E-02	9.72E-01	False	2
C5orf49	0.000392348810576	1.30E-02	9.72E-01	False	2
NRP2	0.000392348810576	1.30E-02	9.72E-01	False	2
PI3	0.000392348810576	1.30E-02	9.72E-01	False	2
CACTIN	0.000392348810576	1.30E-02	9.72E-01	False	2
GUCY1B3	0.000392348810576	1.30E-02	9.72E-01	False	2
MTERFD3	0.000392348810576	1.30E-02	9.72E-01	False	2
SPZ1	0.000392348810576	1.30E-02	9.72E-01	False	2
NPAT	0.000392348810576	1.30E-02	9.72E-01	False	2
FEZF2	0.000392348810576	1.30E-02	9.72E-01	False	2
PLA2G4C	0.000392348810576	1.30E-02	9.72E-01	False	2
FAM120B	0.000392348810576	1.30E-02	9.72E-01	False	2
USP35	0.000392348810576	1.30E-02	9.72E-01	False	2
ADRA1A	0.000392348810576	1.30E-02	9.72E-01	False	2
ALG12	0.000392348810576	1.30E-02	9.72E-01	False	2
ABCA4	0.000392348810576	1.30E-02	9.72E-01	False	2
INTS5	0.000392348810576	1.30E-02	9.72E-01	False	2
SP7	0.000392348810576	1.30E-02	9.72E-01	False	2
KRT75	0.000392348810576	1.30E-02	9.72E-01	False	2
FAM126A	0.000392348810576	1.30E-02	9.72E-01	False	2
ZSCAN20	0.000392348810576	1.30E-02	9.72E-01	False	2
HAUS2	0.000392348810576	1.30E-02	9.72E-01	False	2
TMEM63B	0.000392348810576	1.30E-02	9.72E-01	False	2
PDZD7	0.000392348810576	1.30E-02	9.72E-01	False	2
CNTNAP5	0.000392348810576	1.30E-02	9.72E-01	False	2
FOXA1	0.000392348810576	1.30E-02	9.72E-01	False	2
EIF2B2	0.000392348810576	1.30E-02	9.72E-01	False	2
SNRPE	0.000392348810576	1.30E-02	9.72E-01	False	2
CAPN13	0.000392348810576	1.30E-02	9.72E-01	False	2
LTF	0.000392348810576	1.30E-02	9.72E-01	False	2
TCP10L2	0.000392348810576	1.30E-02	9.72E-01	False	2
SHROOM4	0.000392348810576	1.30E-02	9.72E-01	False	2
PRPSAP1	0.000392348810576	1.30E-02	9.72E-01	False	2
KNOP1	0.000392348810576	1.30E-02	9.72E-01	False	2
PPP3CA	0.00039704726483	1.30E-02	9.72E-01	False	1
MAP2K4	0.000405150270235	1.30E-02	9.72E-01	False	1
ADRA2C	0.000410247924669	1.40E-02	9.72E-01	False	1
KDM2B	0.000410247924669	1.40E-02	9.72E-01	False	1
FN1	0.000410247924669	1.40E-02	9.72E-01	False	1
TBC1D1	0.000410247924669	1.40E-02	9.72E-01	False	1
C16orf95	0.000410247924669	1.40E-02	9.72E-01	False	1
OR4K5	0.000410247924669	1.40E-02	9.72E-01	False	1
KDELR3	0.000410247924669	1.40E-02	9.72E-01	False	0
TOE1	0.000410247924669	1.40E-02	9.72E-01	False	1
TOR1A	0.000417131274261	1.40E-02	9.72E-01	False	2
PANX2	0.000421356281045	1.40E-02	9.72E-01	False	1
CADPS	0.000426289863504	1.50E-02	9.72E-01	False	2
PTPRJ	0.000429459286449	1.50E-02	9.72E-01	False	1
ANKRD53	0.000437820607639	1.50E-02	9.72E-01	False	0
KCND1	0.000437820607639	1.50E-02	9.72E-01	False	2
LDHAL6B	0.000445665297259	1.50E-02	9.72E-01	False	1
KRTAP1-5	0.000449847838305	1.50E-02	9.72E-01	False	2
SRSF10	0.000449847838305	1.50E-02	9.72E-01	False	2
IL1RL2	0.000452273349754	1.50E-02	9.72E-01	False	1
TMEM160	0.000452989879009	1.50E-02	9.72E-01	False	1
PSD4	0.000452989879009	1.50E-02	9.72E-01	False	2
ATG5	0.000453716826245	1.50E-02	9.72E-01	False	1
NCMAP	0.000453768302663	1.50E-02	9.72E-01	False	1
PICALM	0.000454281538042	1.50E-02	9.72E-01	False	0
OR1L6	0.000459002613955	1.50E-02	9.72E-01	False	2
RAB18	0.000469974313473	1.50E-02	9.72E-01	False	1
FADD	0.000478077318878	1.50E-02	9.72E-01	False	1
ZNF317	0.000486180324282	1.50E-02	9.72E-01	False	1
CNIH1	0.000494283329687	1.50E-02	9.72E-01	False	1
STS	0.000499437077758	1.50E-02	9.72E-01	False	2
AMT	0.000499437077758	1.50E-02	9.72E-01	False	2
EMC4	0.000499437077758	1.50E-02	9.72E-01	False	2
EPHB4	0.000499437077758	1.50E-02	9.72E-01	False	2
CD151	0.000499437077758	1.50E-02	9.72E-01	False	2
ARSA	0.000499437077758	1.50E-02	9.72E-01	False	2
SIRT1	0.000499437077758	1.50E-02	9.72E-01	False	2
AADACL2	0.000499437077758	1.50E-02	9.72E-01	False	2
ZNF660	0.000499437077758	1.50E-02	9.72E-01	False	2
GCLC	0.000499437077758	1.50E-02	9.72E-01	False	2
SMOC2	0.000499437077758	1.50E-02	9.72E-01	False	2
OR2A25	0.000499437077758	1.50E-02	9.72E-01	False	2
PITPNM3	0.000499437077758	1.50E-02	9.72E-01	False	2
OAS2	0.000499437077758	1.50E-02	9.72E-01	False	2
C18orf25	0.000499437077758	1.50E-02	9.72E-01	False	2
C11orf63	0.000499437077758	1.50E-02	9.72E-01	False	2
ZFP3	0.000499437077758	1.50E-02	9.72E-01	False	2
ATP2B2	0.000499437077758	1.50E-02	9.72E-01	False	2
NOXA1	0.000499437077758	1.50E-02	9.72E-01	False	2
TMOD1	0.000499437077758	1.50E-02	9.72E-01	False	2
KLHDC10	0.000510489340496	1.50E-02	9.72E-01	False	1
LRRIQ3	0.000530746854008	1.50E-02	9.72E-01	False	1
ARHGEF26	0.000546113319894	1.50E-02	9.72E-01	False	2
ABHD14B	0.00055100436752	1.50E-02	9.72E-01	False	1
RIN1	0.000552761016703	1.50E-02	9.72E-01	False	2
AP1M2	0.000552761016703	1.50E-02	9.72E-01	False	2
FAM173A	0.000552761016703	1.50E-02	9.72E-01	False	2
ZCCHC12	0.000552761016703	1.50E-02	9.72E-01	False	2
ABCC2	0.000557151400353	1.50E-02	9.72E-01	False	2
hsa-mir-4427	0.000557725339435	1.50E-02	9.72E-01	False	2
GAPDH	0.000559107372925	1.50E-02	9.72E-01	False	1
SIGLECL1	0.00056021582304	1.50E-02	9.72E-01	False	2
ASPHD1	0.000560983241886	1.50E-02	9.72E-01	False	2
LUZP2	0.000567210378329	1.50E-02	9.72E-01	False	1
SFTA2	0.000568493103041	1.50E-02	9.72E-01	False	2
LEPREL2	0.000568493103041	1.50E-02	9.72E-01	False	2
CXorf57	0.00057333338008	1.60E-02	9.72E-01	False	2
KRT74	0.000583416389139	1.70E-02	9.72E-01	False	1
RNPC3	0.000591519394543	1.70E-02	9.72E-01	False	1
FOXJ3	0.000599622399948	1.70E-02	9.72E-01	False	1
DPM3	0.000607725405353	1.70E-02	9.72E-01	False	1
PLK4	0.000623931416162	1.70E-02	9.72E-01	False	1
CHST2	0.000632034421567	1.70E-02	9.72E-01	False	1
RAB44	0.000640137426972	1.70E-02	9.72E-01	False	1
PHIP	0.000648240432376	1.70E-02	9.72E-01	False	1
UNC5C	0.000656343437781	1.70E-02	9.72E-01	False	1
KDM6A	0.000672549448591	1.70E-02	9.72E-01	False	1
SIDT1	0.000679296487008	1.90E-02	9.72E-01	False	0
GOLGA8O	0.000679296487008	1.90E-02	9.72E-01	False	1
PCNX	0.000679296487008	1.90E-02	9.72E-01	False	1
hsa-mir-4265	0.000679296487008	1.90E-02	9.72E-01	False	1
BCL10	0.000679296487008	1.90E-02	9.72E-01	False	1
CTSB	0.000679296487008	1.90E-02	9.72E-01	False	1
CTSS	0.000679296487008	1.90E-02	9.72E-01	False	1
KIFC1	0.000679296487008	1.90E-02	9.72E-01	False	1
ZC3H12A	0.000679296487008	1.90E-02	9.72E-01	False	1
KCMF1	0.000679296487008	1.90E-02	9.72E-01	False	1
TEKT1	0.000679296487008	1.90E-02	9.72E-01	False	1
C11orf83	0.000679296487008	1.90E-02	9.72E-01	False	1
NEGR1	0.000679296487008	1.90E-02	9.72E-01	False	1
SH2D4A	0.000679296487008	1.90E-02	9.72E-01	False	0
SC5D	0.000679296487008	1.90E-02	9.72E-01	False	0
SUPT16H	0.000679296487008	1.90E-02	9.72E-01	False	2
MXI1	0.000679296487008	1.90E-02	9.72E-01	False	1
NR2C2AP	0.000679296487008	1.90E-02	9.72E-01	False	1
ABCG1	0.000679296487008	1.90E-02	9.72E-01	False	2
COL11A1	0.000679296487008	1.90E-02	9.72E-01	False	1
TRIM22	0.000679296487008	1.90E-02	9.72E-01	False	1
ADAMTS2	0.000679296487008	1.90E-02	9.72E-01	False	2
HIST3H3	0.000679296487008	1.90E-02	9.72E-01	False	1
CAMK2N2	0.000679296487008	1.90E-02	9.72E-01	False	1
IQSEC3	0.000679296487008	1.90E-02	9.72E-01	False	1
GRM1	0.000679296487008	1.90E-02	9.72E-01	False	1
SPDEF	0.000679296487008	1.90E-02	9.72E-01	False	0
UPP2	0.000679296487008	1.90E-02	9.72E-01	False	1
YY1	0.000679296487008	1.90E-02	9.72E-01	False	1
ELK4	0.000679296487008	1.90E-02	9.72E-01	False	1
CYP4F12	0.000679296487008	1.90E-02	9.72E-01	False	1
ANKRD34A	0.000679296487008	1.90E-02	9.72E-01	False	1
PECAM1	0.000679296487008	1.90E-02	9.72E-01	False	1
ZNF101	0.000679296487008	1.90E-02	9.72E-01	False	1
ALS2	0.000679296487008	1.90E-02	9.72E-01	False	1
LOC100132146	0.000679296487008	1.90E-02	9.72E-01	False	1
OR5K4	0.000679296487008	1.90E-02	9.72E-01	False	2
FAM46B	0.000679296487008	1.90E-02	9.72E-01	False	1
SLC6A5	0.000679296487008	1.90E-02	9.72E-01	False	1
PLEKHG3	0.000679296487008	1.90E-02	9.72E-01	False	1
PIGQ	0.000679296487008	1.90E-02	9.72E-01	False	1
WDR34	0.000679296487008	1.90E-02	9.72E-01	False	1
LOC100129361	0.000679296487008	1.90E-02	9.72E-01	False	1
CBLN2	0.000679296487008	1.90E-02	9.72E-01	False	1
IL6	0.000679296487008	1.90E-02	9.72E-01	False	1
TBX1	0.000679296487008	1.90E-02	9.72E-01	False	1
PAK1IP1	0.000679296487008	1.90E-02	9.72E-01	False	1
ARPC3	0.000679296487008	1.90E-02	9.72E-01	False	1
C15orf54	0.000679296487008	1.90E-02	9.72E-01	False	1
ABCB11	0.000679296487008	1.90E-02	9.72E-01	False	1
TWIST2	0.000679296487008	1.90E-02	9.72E-01	False	1
COMMD9	0.000679296487008	1.90E-02	9.72E-01	False	1
SPI1	0.000679296487008	1.90E-02	9.72E-01	False	0
C1GALT1	0.000679296487008	1.90E-02	9.72E-01	False	1
NHP2L1	0.000679296487008	1.90E-02	9.72E-01	False	1
ARMCX5	0.000680652453995	1.90E-02	9.72E-01	False	1
SH2B3	0.000696737061875	1.90E-02	9.72E-01	False	1
PMCH	0.000696858464805	1.90E-02	9.72E-01	False	1
SLIT2	0.000721167481019	1.90E-02	9.72E-01	False	1
SLC12A4	0.000745476497233	1.90E-02	9.72E-01	False	1
FANCD2OS	0.000753579502638	1.90E-02	9.72E-01	False	1
OPTC	0.000761682508042	1.90E-02	9.72E-01	False	1
RAB11FIP2	0.000769785513447	1.90E-02	9.72E-01	False	1
ZSCAN22	0.000777888518852	1.90E-02	9.72E-01	False	1
RAD17	0.000785991524256	1.90E-02	9.72E-01	False	1
HTRA3	0.000793326191594	1.90E-02	9.72E-01	False	2
STYXL1	0.000794094529661	1.90E-02	9.72E-01	False	1
SERPINB1	0.00081030054047	1.90E-02	9.72E-01	False	1
DOCK6	0.000812844306108	1.90E-02	9.72E-01	False	2
GRIN3A	0.000815618911309	1.90E-02	9.72E-01	False	2
LRRC29	0.000818403545875	1.90E-02	9.72E-01	False	1
FPR2	0.000819093815752	1.90E-02	9.72E-01	False	2
IGBP1	0.000834237091313	1.90E-02	9.72E-01	False	2
YBX2	0.000834237091313	1.90E-02	9.72E-01	False	1
KPNA2	0.000834237091313	1.90E-02	9.72E-01	False	1
ERC2	0.000834237091313	1.90E-02	9.72E-01	False	2
PTPLAD2	0.000834237091313	1.90E-02	9.72E-01	False	2
FOXK1	0.000834237091313	1.90E-02	9.72E-01	False	2
AP5Z1	0.000834609556685	1.90E-02	9.72E-01	False	1
TSNAXIP1	0.000848574636179	2.00E-02	9.72E-01	False	2
SLC10A6	0.000848574636179	2.00E-02	9.72E-01	False	2
C4B_2	0.000848574636179	2.00E-02	9.72E-01	False	2
NUP43	0.000850815567494	2.00E-02	9.72E-01	False	1
RSPH3	0.000856144821261	2.00E-02	9.72E-01	False	1
NKD1	0.000867021578303	2.00E-02	9.72E-01	False	1
hsa-mir-4472-1	0.000874933122949	2.10E-02	9.72E-01	False	1
HEMGN	0.000883227589113	2.10E-02	9.72E-01	False	1
SVIP	0.000891330594518	2.10E-02	9.72E-01	False	1
FAM78A	0.000899433599922	2.10E-02	9.72E-01	False	1
PYROXD1	0.000907536605327	2.10E-02	9.72E-01	False	1
OGFOD2	0.000915639610732	2.10E-02	9.72E-01	False	1
PCGF1	0.000923529291031	2.10E-02	9.72E-01	False	1
C1orf151-NBL1	0.000923742616136	2.10E-02	9.72E-01	False	1
FBF1	0.000929738240015	2.30E-02	9.72E-01	False	2
SLC35F6	0.000929738240015	2.30E-02	9.72E-01	False	2
HIST1H1C	0.000929738240015	2.30E-02	9.72E-01	False	2
STARD3NL	0.000929738240015	2.30E-02	9.72E-01	False	2
NUMBL	0.000929738240015	2.30E-02	9.72E-01	False	1
WNK3	0.000929738240015	2.30E-02	9.72E-01	False	2
IL11	0.000929738240015	2.30E-02	9.72E-01	False	2
FOXRED2	0.000929738240015	2.30E-02	9.72E-01	False	2
